experience_level_code,job_title,job category code,salary_in_usd,salary_in_usd_code,remote_ratio,company_location,company_size,company_size_code
1,Data Analyst,1,48000,1,0,US,M,2
1,Data Analyst,1,48000,1,0,US,M,2
3,Data Analyst,1,51962,1,100,US,M,2
2,Data Analyst,1,52500,1,100,US,M,2
2,Data Analyst,1,52500,1,0,US,M,2
3,Data Analyst,1,52500,1,0,US,M,2
1,Data Analyst,1,55000,1,0,US,M,2
1,Data Analyst,1,55000,1,0,US,M,2
3,Data Analyst,1,55000,1,0,US,M,2
1,Data Analyst,1,56100,1,100,US,M,2
1,Data Analyst,1,60000,1,100,US,M,2
1,Data Analyst,1,60000,1,100,US,M,2
1,Data Analyst,1,60000,1,100,US,L,3
2,Data Analyst,1,60000,1,0,US,M,2
3,Data Analyst,1,60000,1,0,US,M,2
2,Data Analyst,1,61200,1,0,US,M,2
3,Data Analyst,1,64000,1,100,US,M,2
1,Data Analyst,1,64200,1,100,US,M,2
2,Data Analyst,1,64500,1,0,US,M,2
2,Data Analyst,1,65000,1,100,US,M,2
3,Data Analyst,1,65000,1,0,US,M,2
1,Data Analyst,1,70000,1,0,US,M,2
1,Data Analyst,1,70000,1,100,US,M,2
3,Data Analyst,1,70000,1,0,US,M,2
3,Data Analyst,1,70000,1,0,US,M,2
3,Data Analyst,1,70000,1,0,US,M,2
2,Data Analyst,1,72000,1,0,US,M,2
3,Data Analyst,1,74178,1,0,US,M,2
1,Data Analyst,1,75000,1,0,US,M,2
1,Data Analyst,1,75000,1,100,US,M,2
1,Data Analyst,1,75000,1,100,US,M,2
1,Data Analyst,1,75000,1,100,US,M,2
1,Data Analyst,1,75000,1,100,US,M,2
1,Data Analyst,1,75000,1,100,US,M,2
1,Data Analyst,1,75000,1,100,US,M,2
2,Data Analyst,1,75000,1,0,US,M,2
2,Data Analyst,1,75000,1,100,US,M,2
3,Data Analyst,1,75000,1,100,US,M,2
3,Data Analyst,1,75000,1,100,US,M,2
3,Data Analyst,1,75000,1,100,US,M,2
3,Data Analyst,1,75000,1,100,US,M,2
3,Data Analyst,1,75000,1,100,US,M,2
2,Data Analyst,1,79000,1,0,US,M,2
2,Data Analyst,1,80000,1,0,US,M,2
2,Data Analyst,1,80000,1,0,US,M,2
2,Data Analyst,1,80000,1,0,US,M,2
2,Data Analyst,1,80000,1,0,US,M,2
3,Data Analyst,1,80000,1,0,US,M,2
3,Data Analyst,1,80000,1,0,US,M,2
3,Data Analyst,1,80000,1,100,US,M,2
3,Data Analyst,1,80000,1,100,US,M,2
3,Data Analyst,1,80000,1,100,US,S,1
3,Data Analyst,1,80000,1,0,US,M,2
3,Data Analyst,1,80000,1,100,US,M,2
3,Data Analyst,1,81666,1,100,US,M,2
3,Data Analyst,1,81666,1,100,US,M,2
2,Data Analyst,1,83500,1,100,US,M,2
1,Data Analyst,1,85000,1,100,US,M,2
1,Data Analyst,1,85000,1,100,US,M,2
1,Data Analyst,1,85000,1,100,US,M,2
1,Data Analyst,1,85000,1,100,US,M,2
2,Data Analyst,1,85000,1,0,US,M,2
2,Data Analyst,1,85000,1,0,US,M,2
3,Data Analyst,1,85000,1,100,US,M,2
3,Data Analyst,1,85000,1,0,US,M,2
3,Data Analyst,1,85000,1,0,US,M,2
3,Data Analyst,1,85500,1,0,US,M,2
3,Data Analyst,1,85500,1,0,US,M,2
3,Data Analyst,1,85500,1,0,US,M,2
3,Data Analyst,1,86466,1,100,US,M,2
3,Data Analyst,1,87000,1,100,US,M,2
2,Data Analyst,1,90000,1,0,US,M,2
2,Data Analyst,1,90000,1,0,US,M,2
3,Data Analyst,1,90000,1,100,US,M,2
3,Data Analyst,1,90000,1,100,US,M,2
3,Data Analyst,1,93800,1,100,US,M,2
3,Data Analyst,1,93919,1,100,US,M,2
3,Data Analyst,1,94000,1,100,US,M,2
3,Data Analyst,1,94000,1,0,US,M,2
1,Data Analyst,1,95000,1,100,US,M,2
2,Data Analyst,1,95000,1,100,US,M,2
3,Data Analyst,1,95000,1,100,US,M,2
3,Data Analyst,1,95000,1,0,US,M,2
3,Data Analyst,1,95000,1,0,US,M,2
3,Data Analyst,1,95000,1,0,US,M,2
3,Data Analyst,1,95000,1,0,US,M,2
3,Data Analyst,1,95000,1,100,US,M,2
1,Data Analyst,1,100000,1,0,US,M,2
1,Data Analyst,1,100000,1,50,US,M,2
2,Data Analyst,1,100000,1,0,US,M,2
2,Data Analyst,1,100000,1,0,US,M,2
2,Data Analyst,1,100000,1,0,US,M,2
2,Data Analyst,1,100000,1,0,US,M,2
