experience_level_code,job category code,salary_in_usd_code,remote_ratio,company_size_code
1,1,1,0,2
1,1,1,0,2
3,1,1,100,2
2,1,1,100,2
3,1,1,0,2
2,1,1,0,2
3,1,1,0,2
1,1,1,0,2
1,1,1,0,2
1,1,1,100,2
1,1,1,100,2
2,1,1,0,2
1,1,1,100,2
1,1,1,100,3
3,1,1,0,2
2,1,1,0,2
3,1,1,100,2
1,1,1,100,2
2,1,1,0,2
3,1,1,0,2
2,1,1,100,2
1,1,1,0,2
3,1,1,0,2
3,1,1,0,2
1,1,1,100,2
3,1,1,0,2
2,1,1,0,2
3,1,1,0,2
1,1,1,0,2
1,1,1,100,2
3,1,1,100,2
3,1,1,100,2
2,1,1,0,2
1,1,1,100,2
3,1,1,100,2
2,1,1,100,2
1,1,1,100,2
3,1,1,100,2
1,1,1,100,2
3,1,1,100,2
1,1,1,100,2
1,1,1,100,2
2,1,1,0,2
3,1,1,0,2
3,1,1,0,2
3,1,1,100,2
3,1,1,100,2
3,1,1,100,1
2,1,1,0,2
3,1,1,0,2
2,1,1,0,2
2,1,1,0,2
2,1,1,0,2
3,1,1,100,2
3,1,1,100,2
3,1,1,100,2
2,1,1,100,2
1,1,1,100,2
2,1,1,0,2
1,1,1,100,2
2,1,1,0,2
1,1,1,100,2
3,1,1,100,2
3,1,1,0,2
1,1,1,100,2
3,1,1,0,2
3,1,1,0,2
3,1,1,0,2
3,1,1,0,2
3,1,1,100,2
3,1,1,100,2
2,1,1,0,2
3,1,1,100,2
3,1,1,100,2
2,1,1,0,2
3,1,1,100,2
3,1,1,100,2
3,1,1,100,2
3,1,1,0,2
3,1,1,100,2
1,1,1,100,2
3,1,1,0,2
3,1,1,0,2
3,1,1,0,2
3,1,1,0,2
3,1,1,100,2
2,1,1,100,2
3,1,1,100,2
3,1,1,100,2
3,1,1,100,2
2,1,1,0,2
1,1,1,0,2
1,1,1,50,2
2,1,1,0,2
2,1,1,0,2
2,1,1,0,2
2,1,1,100,2
2,1,1,0,2
2,1,1,0,2
3,2,1,0,2
1,2,1,100,2
2,2,1,100,2
1,2,1,100,2
1,2,1,100,2
1,2,1,100,2
3,2,1,100,2
3,2,1,100,2
1,2,1,0,2
1,2,1,0,2
1,2,1,0,2
1,2,1,0,2
3,2,1,0,2
3,2,1,100,2
3,2,1,0,2
3,2,1,0,2
3,2,1,100,2
2,2,1,100,2
2,2,1,100,2
2,2,1,0,2
1,2,1,0,2
3,2,1,100,2
3,2,1,0,2
2,2,1,0,2
2,2,1,100,2
3,2,1,0,2
2,2,1,0,2
3,2,1,100,2
3,2,1,100,2
3,2,1,0,2
3,2,1,100,2
3,2,1,100,2
3,2,1,0,2
3,2,1,0,2
3,2,1,0,2
3,2,1,0,2
3,2,1,100,2
3,2,1,0,2
3,2,1,0,2
1,2,1,0,2
1,2,1,0,2
1,2,1,0,2
1,2,1,0,2
3,2,1,100,2
3,2,1,0,2
3,2,1,0,2
2,2,1,0,2
1,2,1,0,2
2,2,1,100,2
2,2,1,100,2
1,2,1,0,2
3,2,1,0,2
2,2,1,0,2
2,2,1,0,2
3,2,1,100,2
3,2,1,0,2
3,2,1,0,2
1,2,1,100,2
1,2,1,100,2
3,2,1,0,2
3,2,1,0,2
3,2,1,100,2
2,2,1,0,2
2,2,1,0,2
2,2,1,100,2
2,2,1,0,2
3,2,1,100,2
2,2,1,100,2
2,2,1,100,2
3,2,1,0,2
2,2,1,0,2
2,2,1,0,2
3,3,1,0,2
2,4,1,0,2
2,4,1,0,2
3,4,1,0,2
3,4,1,0,2
3,4,1,0,2
2,5,1,100,2
3,5,1,0,2
3,5,1,0,2
3,5,1,0,2
1,5,1,100,2
1,5,1,0,2
3,5,1,0,2
3,5,1,0,2
3,5,1,0,2
3,5,1,0,2
2,5,1,100,2
3,5,1,100,2
3,5,1,100,2
3,5,1,100,2
3,5,1,100,2
3,5,1,100,2
2,5,1,0,2
3,5,1,0,2
3,5,1,0,2
2,5,1,100,2
2,5,1,100,2
3,5,1,100,2
4,5,1,0,2
2,5,1,0,2
2,5,1,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
2,1,3,0,2
3,1,3,0,3
3,1,3,100,2
2,1,3,0,2
3,1,3,0,2
2,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
2,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
2,1,3,0,2
2,1,3,100,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,1
2,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
2,1,3,0,2
3,1,3,100,2
3,1,3,100,2
3,1,3,100,2
2,1,3,0,2
3,1,3,100,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
3,1,3,100,2
2,1,3,100,2
2,1,3,0,2
3,1,3,100,2
3,1,3,100,2
2,1,3,0,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
3,1,3,0,2
2,1,3,0,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
2,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
3,1,3,100,2
3,1,3,100,2
3,1,3,0,2
2,1,3,0,2
3,1,3,0,2
3,1,3,100,2
2,1,3,0,2
3,1,3,100,2
2,1,3,0,2
3,1,3,100,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
2,1,3,0,2
3,1,3,0,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
3,1,3,100,2
3,1,3,0,2
3,1,3,100,2
3,1,3,100,2
2,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
3,1,3,0,2
3,1,3,100,2
3,1,3,0,2
3,1,3,0,2
3,1,3,100,2
2,1,3,100,2
1,1,3,0,2
2,1,3,0,2
2,1,3,0,2
2,1,3,0,2
2,1,3,0,2
3,6,3,0,2
