,work_year,experience_level,experience_level_code,employment_type,employment_type_code,job_title,job category code,salary,salary_currency,salary_in_usd,salary_in_usd_code,employee_residence,remote_ratio,company_location,company_size,company_size_code
1232,2023,EN,1,FT,2,Data Analyst,1,48000,USD,48000,1,US,0,US,M,2
1518,2023,EN,1,FT,2,Data Analyst,1,48000,USD,48000,1,US,0,US,M,2
723,2023,SE,3,FT,2,Data Analyst,1,51962,USD,51962,2,US,100,US,M,2
1110,2023,MI,2,FT,2,Data Scientist,5,51962,USD,51962,2,US,100,US,M,2
1279,2023,MI,2,FT,2,Data Analyst,1,52500,USD,52500,2,US,100,US,M,2
426,2023,SE,3,FT,2,Data Analyst,1,52500,USD,52500,2,US,0,US,M,2
612,2023,MI,2,FT,2,Data Analyst,1,52500,USD,52500,2,US,0,US,M,2
752,2023,SE,3,FT,2,Data Analyst,1,55000,USD,55000,2,US,0,US,M,2
1148,2023,EN,1,FT,2,Data Analyst,1,55000,USD,55000,2,US,0,US,M,2
1198,2023,EN,1,FT,2,Data Analyst,1,55000,USD,55000,2,US,0,US,M,2
1223,2023,EN,1,FT,2,Data Analyst,1,56100,USD,56100,2,US,100,US,M,2
1289,2023,EN,1,FT,2,Data Engineer,2,58000,USD,58000,2,US,100,US,M,2
392,2023,EN,1,FT,2,Data Analyst,1,60000,USD,60000,2,US,100,US,M,2
596,2023,MI,2,FT,2,Data Analyst,1,60000,USD,60000,2,US,0,US,M,2
1442,2023,EN,1,FT,2,Data Analyst,1,60000,USD,60000,2,US,100,US,M,2
458,2023,EN,1,FT,2,Data Analyst,1,60000,USD,60000,2,US,100,US,L,3
602,2023,SE,3,FT,2,Data Analyst,1,60000,USD,60000,2,US,0,US,M,2
611,2023,MI,2,FT,2,Data Engineer,2,60400,USD,60400,2,US,100,US,M,2
1246,2023,MI,2,FT,2,Data Analyst,1,61200,USD,61200,2,US,0,US,M,2
1572,2023,EN,1,FT,2,Data Engineer,2,61800,USD,61800,2,US,100,US,M,2
1773,2023,EN,1,FT,2,Data Engineer,2,61800,USD,61800,2,US,100,US,M,2
425,2023,EN,1,FT,2,Data Engineer,2,62000,USD,62000,2,US,100,US,M,2
38,2023,SE,3,FT,2,Data Engineer,2,63000,USD,63000,2,US,100,US,M,2
1041,2023,SE,3,FT,2,Data Engineer,2,63000,USD,63000,2,US,100,US,M,2
102,2023,SE,3,FT,2,Data Analyst,1,64000,USD,64000,2,US,100,US,M,2
727,2023,EN,1,FT,2,Data Analyst,1,64200,USD,64200,2,US,100,US,M,2
138,2023,MI,2,FT,2,Data Analyst,1,64500,USD,64500,2,US,0,US,M,2
251,2023,SE,3,FT,2,Data Analyst,1,65000,USD,65000,2,US,0,US,M,2
341,2023,MI,2,FT,2,Data Analyst,1,65000,USD,65000,2,US,100,US,M,2
396,2023,EN,1,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
1037,2023,EN,1,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
